id,token,entity
D0001,Pelaku,
D0001,pembunuhan,
D0001,dan,
D0001,pemerkosaan,
D0001,AA,
D0001,14,
D0001,seorang,
D0001,remaja,
D0001,putri,
D0001,di,
D0001,Kuburan,
D0001,Cina,
D0001,Palembang,
D0001,sudah,
D0001,ditangkap,
D0001,dan,
D0001,ditetapkan,
D0001,tersangka,
D0001,Keempat,
D0001,tersangka,
D0001,merupakan,
D0001,anak,
D0001,di,
D0001,bawah,
D0001,umur,
D0001,sama,
D0001,seperti,
D0001,korbannya,
D0001,Pengamat,
D0001,Hukum,
D0001,dari,
D0001,Universitas,
D0001,Taman,
D0001,Siswa,
D0001,Palembang,
D0001,Dr,
D0001,Azwar,
D0001,Agus,
D0001,menyampaikan,
D0001,turut,
D0001,prihatin,
D0001,dengan,
D0001,kejadian,
D0001,pembunuhan,
D0001,remaja,
D0001,putri,
D0001,yang,
D0001,dilakukan,
D0001,oleh,
D0001,remaja,
D0001,lakilaki,
D0001,yang,
D0001,usianya,
D0001,sebaya,
D0001,dengan,
D0001,korban,
D0001,Kejadian,
D0001,ini,
D0001,sangat,
D0001,memprihatinkan,
D0001,Dilihat,
D0001,dari,
D0001,aspek,
D0001,hukum,
D0001,kejahatan,
D0001,ini,
D0001,tidak,
D0001,bisa,
D0001,terbendung,
D0001,seiring,
D0001,dengan,
D0001,perkembangan,
D0001,ilmu,
D0001,pengetahuan,
D0001,dan,
D0001,teknologi,
D0001,seperti,
D0001,peran,
D0001,media,
D0001,sosial,
D0001,di,
D0001,mana,
D0001,salah,
D0001,satu,
D0001,tersangka,
D0001,bisa,
D0001,mengakses,
D0001,film,
D0001,biru,
D0001,porno,
D0001,ujarnya,
D0001,Kamis,
D0001,592024,
D0001,SCROLL,
D0001,TO,
D0001,CONTINUE,
D0001,WITH,
D0001,CONTENT,
D0001,Menurutnya,
D0001,kontenkonten,
D0001,negatif,
D0001,seperti,
D0001,seksual,
D0001,tidak,
D0001,bisa,
D0001,dihindari,
D0001,dan,
D0001,ini,
D0001,menjadi,
D0001,pemicu,
D0001,kejahatan,
D0001,karena,
D0001,terbukti,
D0001,anak,
D0001,tersebut,
D0001,bisa,
D0001,mengakses,
D0001,kontenkonten,
D0001,pornografi,
D0001,dan,
D0001,memicu,
D0001,tindak,
D0001,pidana,
D0001,Sebenarnya,
D0001,itu,
D0001,konten,
D0001,film,
D0001,porno,
D0001,tidak,
D0001,hanya,
D0001,bisa,
D0001,diakses,
D0001,anakanak,
D0001,saja,
D0001,tetapi,
D0001,juga,
D0001,bisa,
D0001,diakses,
D0001,orang,
D0001,dewasa,
D0001,dan,
D0001,itu,
D0001,menjadi,
D0001,pemicu,
D0001,tindak,
D0001,kriminalitas,
D0001,terhadap,
D0001,seseorang,
D0001,tuturnya,
D0001,Jika,
D0001,anak,
D0001,sudah,
D0001,bisa,
D0001,mengakses,
D0001,dan,
D0001,melihat,
D0001,melalui,
D0001,handphone,
D0001,dapat,
D0001,menimbulkan,
D0001,efek,
D0001,yang,
D0001,cukup,
D0001,signifikan,
D0001,terhadap,
D0001,dirinya,
D0001,karena,
D0001,dapat,
D0001,berpengaruh,
D0001,bila,
D0001,tidak,
D0001,disertai,
D0001,dengan,
D0001,imam,
D0001,dan,
D0001,kontrol,
D0001,dari,
D0001,orang,
D0001,tua,
D0001,dan,
D0001,menimbulkan,
D0001,hal,
D0001,yang,
D0001,tidak,
D0001,diinginkan,
D0001,Bahwa,
D0001,kemajuan,
D0001,pengetahuan,
D0001,dan,
D0001,teknologi,
D0001,tadi,
D0001,tidak,
D0001,bisa,
D0001,membendung,
D0001,pergaulan,
D0001,anak,
D0001,sekarang,
D0001,Maka,
D0001,dari,
D0001,itu,
D0001,butuh,
D0001,kontrol,
D0001,dari,
D0001,orang,
D0001,tua,
D0001,dan,
D0001,pantauan,
D0001,dari,
D0001,orang,
D0001,tua,
D0001,agar,
D0001,apa,
D0001,tang,
D0001,dilihat,
D0001,di,
D0001,medsos,
D0001,tidak,
